state,unique_providers,total_services,total_beneficiaries,avg_medicare_payment,avg_submitted_charge,total_medicare_paid,payment_ratio
CA,90432,255133175.3,79260093,97.35734567063862,459.4454417778783,10675572538.823685,21.2
FL,74374,273150384.8000001,73089283,94.5382418140087,452.6515869918165,8324954008.710107,20.9
TX,75890,187695189.20000005,59885683,86.27349355245121,466.46175116260775,6472468682.199377,18.5
NY,79417,152730061.89999998,51320148,87.02653729498545,459.76429264400826,6238194738.689777,18.9
PA,57253,101342883.30000004,31460281,79.42779759477177,341.04480412386874,3568067052.0202537,23.3
